,Ene., Feb.,   Mar.,  Abr.,   May.,  Jun.,  Jul.,  Ago.,  Sept.,  Oct.,  Nov.,  Dic.
Pinar del Río,14.1,37.8,73.7,71.4,116,677,181.6,168.2,173.6,122.4,87.5,56.2
Artemisa,31,38.2,88.5,70.7,131.1,520.6,209.8,119.6,169.9,135.1,195.9,58.3
La Habana,5.3,38.5,65.8,63,132,190.9,214.3,200.4,243.6,50.6,322.2,71.1
    Mayabeque,6,22.5,40.2,99.8,127.5,246.4,224.4,182.8,188.3,106.6,88,58.3
Matanzas,3.1,10.7,23.9,74.1,134.4,104.7,150.3,100.9,103.8,46.5,13.9,13.8
Villa Clara,34.1,15.7,45.7,115.8,181.8,129.2,163.5,172.8,232.5,240.6,153.1,34.6
Cienfuegos,21.1,20.6,31.8,121.3,197.9,191.6,234.4,211.3,189.3,140.1,77,22.2
Sancti Spíritus,21.9,11.4,19.3,98.9,174.9,205.9,217.3,169.9,160.8,196.7,81.8,29.1
Ciego de Ávila,26.2,7.3,18.7,59.7,242,130.5,207.1,122.8,183.4,145.1,90,26
Camagüey,33.8,12.8,22.5,104.1,270.7,141.6,159.1,130.8,190.1,106.1,74.2,24.3
Las Tunas,72.8,6.3,20.5,54.5,162.3,147.8,103.4,142.2,145.3,101.5,67.4,9.4
Holguín,85.3,49.2,44.3,101.2,160.8,144.9,82.5,90.7,153.3,136.9,130.9,27.4
Granma,17.3,16.5,15.7,103.6,182.4,165.4,131,159.2,189.9,141,88.5,20.8
Santiago de Cuba,27.5,12.6,22.8,119.9,157.1,150.1,126.3,125.7,164.1,125,64.8,21.9
Guantánamo,79.9,57.9,54.8,111.2,156.3,94.1,98.7,73.4,149.4,126.3,98.9,83.1
Isla de la Juventud,16,17.6,94.2,87.5,123.7,467.3,181.1,145.5,246.3,128.8,19.7,23.9
